Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/health,36,0,4,4.758155555540118,3.7706000002799556,17.411700000593555,95.0,1.9274056765325358,0.0,4,4,5,5,6,7,17,17,17,17,17
GET,/api/v1/health/ready,20,0,10,11.916209999844796,8.61689999965165,29.390399999101646,187.0,1.0707809314069643,0.0,10,11,12,14,19,29,29,29,29,29,29
GET,bff:plan_features,12,0,4,7.190483333564164,3.875000000334694,38.273900000604044,484.0,0.6424685588441785,0.0,5,5,5,5,5,38,38,38,38,38,38
,Aggregated,68,0,5,7.292699999986914,3.7706000002799556,38.273900000604044,190.7058823529412,3.6406551667836786,0.0,5,6,9,10,12,18,29,38,38,38,38
