Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/health,687,0,4,5.512719505120283,3.635200000644545,138.8451000002533,95.0,5.849111240998128,0.0,4,5,5,5,7,8,12,19,140,140,140
GET,bff:plan_features,249,0,4,4.8018787147887645,3.3980000007431954,33.535299999130075,484.0,2.1199835502307627,0.0,4,4,5,5,6,7,15,22,34,34,34
,Aggregated,936,0,4,5.3236176282051675,3.3980000007431954,138.8451000002533,198.48397435897436,7.9690947912288905,0.0,4,5,5,5,6,8,12,19,140,140,140
