Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780284910,10,,Aggregated,7.700000,0.000000,4,4,5,5,7,10,19,22,100,100,100,237,0,4,5.4754506329524935,3.3980000007431954,104.87210000064806,198.40506329113924
1780284911,10,,Aggregated,7.900000,0.000000,4,4,5,5,7,10,19,22,100,100,100,246,0,4,5.4177353658889205,3.3980000007431954,104.87210000064806,199.3658536585366
1780284912,10,,Aggregated,8.300000,0.000000,4,4,5,5,7,10,19,22,100,100,100,255,0,4,5.384418823550553,3.3980000007431954,104.87210000064806,201.7843137254902
1780284913,10,,Aggregated,8.000000,0.000000,4,4,5,5,7,9,19,22,100,100,100,261,0,4,5.358364750976051,3.3980000007431954,104.87210000064806,202.31034482758622
1780284914,10,,Aggregated,8.300000,0.000000,4,4,5,5,7,9,19,22,100,100,100,268,0,4,5.33360559704116,3.3980000007431954,104.87210000064806,199.50746268656715
1780284915,10,,Aggregated,8.500000,0.000000,4,4,5,5,7,9,19,22,100,100,100,276,0,4,5.318665942059601,3.3980000007431954,104.87210000064806,200.70652173913044
1780284916,10,,Aggregated,8.200000,0.000000,4,4,5,5,7,8,19,22,100,100,100,285,0,4,5.279471228111601,3.3980000007431954,104.87210000064806,198.73333333333332
1780284917,10,,Aggregated,8.200000,0.000000,4,4,5,5,7,8,19,22,100,100,100,293,0,4,5.275038566592369,3.3980000007431954,104.87210000064806,199.8839590443686
1780284918,10,,Aggregated,8.200000,0.000000,4,4,5,5,7,7,18,19,100,100,100,301,0,4,5.264884717641365,3.3980000007431954,104.87210000064806,199.68106312292358
1780284919,10,,Aggregated,7.900000,0.000000,4,4,5,5,7,7,18,19,100,100,100,309,0,4,5.25034563109309,3.3980000007431954,104.87210000064806,199.48867313915858
1780284920,10,,Aggregated,8.200000,0.000000,4,4,5,5,7,7,18,19,100,100,100,318,0,4,5.217470440263968,3.3980000007431954,104.87210000064806,200.2012578616352
1780284921,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,18,19,100,100,100,326,0,4,5.204074233145888,3.3980000007431954,104.87210000064806,197.61963190184048
1780284922,10,,Aggregated,8.000000,0.000000,4,4,5,5,7,8,18,19,100,100,100,335,0,4,5.236132835831194,3.3980000007431954,104.87210000064806,198.3462686567164
1780284923,10,,Aggregated,8.500000,0.000000,4,4,5,5,7,8,18,19,100,100,100,342,0,4,5.250395906448149,3.3980000007431954,104.87210000064806,196.23099415204678
1780284924,10,,Aggregated,8.000000,0.000000,4,4,5,5,7,8,18,19,100,100,100,349,0,4,5.238412320925539,3.3980000007431954,104.87210000064806,194.20057306590257
1780284925,10,,Aggregated,7.900000,0.000000,4,4,5,5,7,8,17,19,100,100,100,360,0,4,5.226283888901485,3.3980000007431954,104.87210000064806,195.49166666666667
1780284926,10,,Aggregated,8.100000,0.000000,4,4,5,5,7,8,17,19,100,100,100,368,0,4,5.227123369571058,3.3980000007431954,104.87210000064806,197.53532608695653
1780284927,10,,Aggregated,8.300000,0.000000,4,4,5,5,7,8,17,19,100,100,100,377,0,4,5.243684880640854,3.3980000007431954,104.87210000064806,196.11936339522546
1780284928,10,,Aggregated,8.300000,0.000000,4,4,5,5,7,8,17,19,100,100,100,385,0,4,5.230979740268334,3.3980000007431954,104.87210000064806,195.02857142857144
1780284929,10,,Aggregated,8.400000,0.000000,4,4,5,5,7,8,17,19,100,100,100,394,0,4,5.209601269039728,3.3980000007431954,104.87210000064806,195.7055837563452
1780284930,10,,Aggregated,8.400000,0.000000,4,4,5,5,7,8,17,19,100,100,100,401,0,4,5.199921197009574,3.3980000007431954,104.87210000064806,195.88778054862843
1780284931,10,,Aggregated,8.500000,0.000000,4,4,5,5,7,8,17,19,100,100,100,410,0,4,5.17330292682678,3.3980000007431954,104.87210000064806,194.6219512195122
1780284932,10,,Aggregated,8.200000,0.000000,4,4,5,5,7,8,17,19,100,100,100,418,0,4,5.152205263158158,3.3980000007431954,104.87210000064806,195.5071770334928
1780284933,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,17,19,100,100,100,423,0,4,5.149330023637834,3.3980000007431954,104.87210000064806,195.2387706855792
1780284934,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,17,19,100,100,100,432,0,4,5.127391666662704,3.3980000007431954,104.87210000064806,194.05092592592592
